nodeName altName nodeAttribute
comp10465_c0 NA turquoise
comp1047_c0 NA turquoise
comp10473_c0 NA blue
comp10474_c1 NA green
comp10477_c0 NA turquoise
comp10479_c0 NA blue
comp10481_c0 NA turquoise
comp10482_c0 NA blue
comp10488_c0 NA blue
comp10489_c0 NA yellow
comp10492_c0 NA yellow
comp104933_c0 NA green
comp10494_c0 NA turquoise
comp10498_c1 NA turquoise
comp105_c0 NA blue
comp1050_c0 NA turquoise
comp10500_c0 NA turquoise
comp10501_c0 NA blue
comp10503_c0 NA blue
comp10508_c0 NA blue
comp1051_c0 NA turquoise
comp10511_c0 NA blue
comp10511_c2 NA blue
comp10512_c0 NA turquoise
comp10514_c0 NA turquoise
comp10517_c1 NA blue
comp10518_c0 NA turquoise
comp10521_c0 NA blue
comp10521_c2 NA turquoise
comp10523_c2 NA yellow
comp10528_c0 NA turquoise
comp1053_c0 NA turquoise
comp10530_c0 NA blue
comp10531_c0 NA turquoise
comp10532_c0 NA turquoise
comp10533_c0 NA turquoise
comp10534_c0 NA blue
comp10536_c1 NA blue
comp10537_c0 NA turquoise
comp10538_c1 NA brown
comp10539_c0 NA blue
comp1054_c0 NA blue
comp10541_c1 NA blue
comp10543_c0 NA blue
comp10544_c0 NA blue
comp10545_c0 NA blue
comp10546_c0 NA blue
comp1055_c0 NA yellow
comp10550_c0 NA blue
comp10551_c0 NA blue
comp10554_c0 NA black
comp10555_c0 NA blue
comp10558_c0 NA turquoise
comp10559_c0 NA blue
comp10560_c1 NA turquoise
comp10562_c0 NA turquoise
comp10563_c0 NA blue
comp10565_c0 NA blue
comp10568_c0 NA brown
comp10569_c0 NA turquoise
comp10570_c1 NA blue
comp10575_c0 NA blue
comp105750_c0 NA turquoise
comp10576_c0 NA blue
comp10578_c0 NA blue
comp1058_c0 NA brown
comp10580_c0 NA blue
comp10581_c0 NA blue
comp10583_c0 NA blue
comp10585_c0 NA turquoise
comp10590_c0 NA blue
comp10594_c0 NA blue
comp10594_c1 NA blue
comp10596_c0 NA turquoise
comp10598_c0 NA turquoise
comp10600_c0 NA turquoise
comp10600_c1 NA turquoise
comp10601_c0 NA yellow
comp10602_c0 NA blue
comp10604_c0 NA blue
comp10607_c0 NA turquoise
comp1061_c0 NA blue
comp10610_c0 NA blue
comp10611_c0 NA turquoise
comp10612_c0 NA blue
comp10614_c0 NA brown
comp10615_c0 NA brown
comp10616_c0 NA blue
comp1062_c0 NA turquoise
comp10621_c1 NA turquoise
comp10624_c0 NA turquoise
comp10625_c0 NA turquoise
comp10626_c0 NA blue
comp10628_c0 NA blue
comp10634_c0 NA blue
comp10635_c1 NA green
comp10638_c0 NA blue
comp1064_c0 NA turquoise
comp10642_c0 NA blue
comp10645_c1 NA turquoise
comp10646_c0 NA blue
comp10649_c0 NA blue
comp10650_c0 NA turquoise
comp10651_c0 NA turquoise
comp10655_c0 NA turquoise
comp10656_c0 NA blue
comp10657_c0 NA turquoise
comp10659_c0 NA blue
comp10660_c0 NA blue
comp10661_c0 NA blue
comp10663_c1 NA turquoise
comp10664_c0 NA blue
comp10665_c0 NA turquoise
comp10668_c0 NA red
comp1067_c1 NA yellow
comp10678_c0 NA blue
comp1068_c0 NA blue
comp10682_c0 NA blue
comp10688_c0 NA blue
comp10689_c1 NA turquoise
comp1069_c1 NA turquoise
comp1069_c3 NA turquoise
comp10691_c0 NA blue
comp10694_c0 NA turquoise
comp10696_c1 NA blue
comp10697_c0 NA blue
comp10698_c0 NA turquoise
comp10699_c0 NA blue
comp107_c0 NA turquoise
comp10701_c0 NA blue
comp10705_c0 NA turquoise
comp10708_c0 NA blue
comp10710_c0 NA blue
comp10711_c0 NA turquoise
comp10713_c0 NA turquoise
comp10717_c0 NA turquoise
comp10718_c0 NA turquoise
comp10720_c0 NA turquoise
comp10720_c1 NA green
comp10723_c1 NA blue
comp10727_c1 NA turquoise
comp10728_c1 NA brown
comp1073_c0 NA blue
comp10730_c0 NA turquoise
comp10731_c0 NA turquoise
comp10735_c0 NA blue
comp10737_c0 NA turquoise
comp10738_c0 NA green
comp1074_c0 NA turquoise
comp10740_c1 NA blue
comp10741_c0 NA blue
comp10742_c0 NA blue
comp10744_c0 NA turquoise
comp1075_c0 NA turquoise
comp10751_c0 NA blue
comp10754_c0 NA blue
comp10755_c0 NA turquoise
comp10762_c0 NA turquoise
comp10764_c0 NA turquoise
comp10766_c0 NA turquoise
comp10773_c0 NA turquoise
comp10774_c0 NA blue
comp10777_c1 NA turquoise
comp10779_c0 NA turquoise
comp10782_c1 NA turquoise
comp10783_c0 NA blue
comp10785_c0 NA turquoise
comp10787_c0 NA turquoise
comp10792_c0 NA turquoise
comp10794_c0 NA turquoise
comp1080_c0 NA yellow
comp10803_c0 NA brown
comp10805_c0 NA turquoise
comp10808_c0 NA blue
comp10809_c0 NA red
comp1081_c0 NA turquoise
comp10810_c1 NA blue
comp10813_c0 NA blue
comp10815_c0 NA blue
comp10815_c2 NA green
comp10816_c0 NA blue
comp10818_c0 NA turquoise
comp1082_c1 NA yellow
comp10821_c0 NA turquoise
comp10822_c1 NA brown
comp10824_c0 NA blue
comp10826_c0 NA blue
comp10828_c0 NA red
comp10829_c0 NA turquoise
comp1083_c0 NA blue
comp10832_c0 NA blue
comp10836_c0 NA turquoise
comp10838_c0 NA turquoise
comp108382_c0 NA turquoise
comp10839_c1 NA turquoise
comp10842_c0 NA green
comp10843_c0 NA brown
comp10847_c0 NA brown
comp10848_c1 NA brown
comp1085_c0 NA turquoise
comp10850_c0 NA blue
comp10852_c0 NA blue
comp10853_c0 NA turquoise
comp10854_c0 NA blue
comp10856_c0 NA turquoise
comp10857_c1 NA turquoise
comp10861_c0 NA turquoise
comp10862_c0 NA turquoise
comp10863_c0 NA turquoise
comp10864_c0 NA turquoise
comp10865_c0 NA turquoise
comp10868_c0 NA turquoise
comp1087_c0 NA blue
comp10871_c0 NA black
comp10873_c0 NA turquoise
comp10874_c0 NA turquoise
comp10878_c0 NA blue
comp10882_c0 NA blue
comp10883_c0 NA blue
comp10884_c0 NA blue
comp10886_c0 NA turquoise
comp10887_c0 NA brown
comp10887_c5 NA blue
comp10889_c0 NA blue
comp1089_c0 NA turquoise
comp10890_c0 NA turquoise
comp10891_c0 NA blue
comp10897_c0 NA blue
comp10897_c2 NA blue
comp10899_c0 NA turquoise
comp109_c0 NA yellow
comp10900_c0 NA blue
comp10902_c0 NA turquoise
comp10902_c2 NA turquoise
comp10905_c3 NA turquoise
comp10908_c0 NA turquoise
comp10908_c1 NA turquoise
comp1091_c0 NA turquoise
comp10912_c0 NA blue
comp10913_c1 NA blue
comp10914_c1 NA brown
comp10917_c0 NA blue
comp1092_c1 NA blue
comp10920_c0 NA turquoise
comp10921_c0 NA turquoise
comp10923_c0 NA turquoise
comp10925_c0 NA turquoise
comp10926_c0 NA blue
comp1093_c0 NA turquoise
comp10931_c1 NA blue
comp10932_c0 NA blue
comp10935_c0 NA turquoise
comp10936_c0 NA brown
comp10937_c0 NA blue
comp10938_c0 NA turquoise
comp1094_c0 NA blue
comp10941_c0 NA blue
comp10945_c0 NA blue
comp10947_c0 NA blue
comp1095_c0 NA blue
comp10953_c0 NA turquoise
comp10959_c0 NA turquoise
comp10963_c0 NA turquoise
comp10967_c0 NA blue
comp10972_c0 NA turquoise
comp10973_c0 NA turquoise
comp10974_c0 NA blue
comp10976_c0 NA turquoise
comp10977_c2 NA blue
comp10979_c0 NA brown
comp1098_c0 NA turquoise
comp10982_c0 NA brown
comp10984_c0 NA blue
comp10986_c0 NA turquoise
comp10988_c0 NA turquoise
comp10989_c0 NA turquoise
comp1099_c0 NA turquoise
comp10991_c2 NA blue
comp10997_c0 NA turquoise
comp10999_c0 NA turquoise
comp110_c2 NA turquoise
comp1100_c1 NA blue
comp11000_c0 NA turquoise
comp11001_c1 NA blue
comp11001_c2 NA blue
comp11002_c1 NA blue
comp11003_c0 NA turquoise
comp11004_c0 NA turquoise
comp11005_c0 NA blue
comp11006_c0 NA turquoise
comp11008_c0 NA blue
comp11010_c0 NA blue
comp11013_c0 NA yellow
comp1102_c0 NA turquoise
comp11021_c0 NA turquoise
comp11024_c0 NA turquoise
comp11028_c0 NA turquoise
comp1103_c0 NA green
comp11033_c0 NA turquoise
comp11034_c0 NA blue
comp11035_c0 NA blue
comp11037_c0 NA turquoise
comp11039_c0 NA turquoise
comp1104_c0 NA blue
comp11040_c0 NA turquoise
comp11042_c0 NA turquoise
comp11043_c0 NA blue
comp11044_c0 NA turquoise
comp11047_c0 NA blue
comp11049_c0 NA blue
comp1105_c0 NA blue
comp11053_c0 NA blue
comp11054_c0 NA blue
comp11058_c0 NA turquoise
comp11059_c0 NA blue
comp1106_c0 NA turquoise
comp11061_c0 NA turquoise
comp11066_c0 NA blue
comp11068_c0 NA turquoise
comp1107_c0 NA blue
comp11075_c0 NA turquoise
comp11079_c0 NA blue
comp1108_c0 NA turquoise
comp11083_c0 NA brown
comp11089_c0 NA blue
comp11090_c0 NA blue
comp11095_c0 NA blue
comp11096_c0 NA blue
comp11101_c0 NA turquoise
comp11102_c0 NA turquoise
comp11106_c0 NA blue
comp11107_c1 NA blue
comp11109_c1 NA blue
comp1111_c0 NA turquoise
comp11114_c0 NA blue
comp11115_c0 NA blue
comp11119_c0 NA turquoise
comp1112_c0 NA turquoise
comp11123_c0 NA blue
comp11124_c0 NA turquoise
comp11125_c0 NA turquoise
comp1113_c0 NA turquoise
comp11131_c0 NA yellow
comp11132_c0 NA turquoise
comp11134_c1 NA blue
comp11138_c0 NA blue
comp11139_c0 NA turquoise
comp1114_c0 NA blue
comp11140_c0 NA blue
comp11140_c1 NA blue
comp11141_c0 NA blue
comp11145_c1 NA blue
comp11148_c0 NA blue
comp11150_c0 NA turquoise
comp11153_c0 NA turquoise
comp11157_c0 NA turquoise
comp11160_c1 NA turquoise
comp11164_c0 NA turquoise
comp11167_c0 NA turquoise
comp11168_c0 NA blue
comp1117_c0 NA blue
comp11171_c0 NA blue
comp11174_c0 NA blue
comp11175_c0 NA blue
comp11177_c0 NA turquoise
comp11178_c0 NA blue
comp11179_c0 NA yellow
comp1118_c0 NA turquoise
comp11183_c0 NA turquoise
comp11188_c0 NA blue
comp1119_c0 NA turquoise
comp11190_c0 NA blue
comp11192_c1 NA blue
comp11197_c0 NA blue
comp1120_c0 NA turquoise
comp11201_c0 NA green
comp11202_c0 NA turquoise
comp11203_c0 NA blue
comp11204_c3 NA brown
comp11205_c0 NA turquoise
comp11207_c0 NA blue
comp11208_c1 NA turquoise
comp11209_c1 NA blue
comp11210_c0 NA turquoise
comp11213_c0 NA yellow
comp11214_c0 NA turquoise
comp11215_c0 NA turquoise
comp11216_c0 NA green
comp1122_c0 NA turquoise
comp11223_c0 NA blue
comp11226_c1 NA brown
comp11227_c0 NA brown
comp11231_c0 NA turquoise
comp11234_c0 NA turquoise
comp11235_c0 NA blue
comp11239_c0 NA turquoise
comp1124_c0 NA turquoise
comp112424_c0 NA yellow
comp11243_c0 NA brown
comp11247_c0 NA blue
comp11248_c1 NA blue
comp11249_c0 NA blue
comp1125_c0 NA turquoise
comp11250_c0 NA blue
comp11251_c0 NA brown
comp11255_c0 NA blue
comp11256_c0 NA blue
comp11257_c0 NA blue
comp11258_c0 NA turquoise
comp11259_c0 NA turquoise
comp1126_c0 NA blue
comp11260_c0 NA blue
comp11262_c0 NA turquoise
comp11269_c0 NA turquoise
comp11273_c1 NA turquoise
comp11274_c0 NA turquoise
comp11277_c0 NA turquoise
comp11280_c0 NA blue
comp11281_c0 NA blue
comp11288_c0 NA red
comp11289_c0 NA blue
comp1129_c0 NA turquoise
comp11290_c0 NA turquoise
comp11296_c0 NA blue
comp11299_c0 NA turquoise
comp11300_c0 NA turquoise
comp11301_c1 NA yellow
comp11303_c1 NA blue
comp11307_c0 NA blue
comp11308_c0 NA turquoise
comp11309_c0 NA turquoise
comp1131_c0 NA turquoise
comp11311_c0 NA turquoise
comp11313_c0 NA blue
comp11315_c0 NA blue
comp11316_c2 NA blue
comp11317_c0 NA turquoise
comp11318_c0 NA turquoise
comp113199_c0 NA black
comp11322_c0 NA turquoise
comp1133_c0 NA turquoise
comp11330_c0 NA blue
comp11331_c0 NA blue
comp11337_c0 NA blue
comp1134_c0 NA brown
comp11347_c0 NA blue
comp1135_c1 NA brown
comp11350_c0 NA blue
comp11353_c0 NA red
comp11354_c0 NA turquoise
comp11355_c0 NA turquoise
comp1136_c0 NA turquoise
comp11362_c1 NA blue
comp11364_c0 NA turquoise
comp11365_c0 NA blue
comp11367_c5 NA brown
comp11368_c0 NA turquoise
comp1137_c0 NA turquoise
comp11371_c0 NA turquoise
comp11376_c0 NA turquoise
comp11377_c4 NA blue
comp11379_c3 NA blue
comp11380_c0 NA brown
comp11380_c1 NA blue
comp11381_c0 NA turquoise
comp11383_c0 NA yellow
comp11387_c0 NA turquoise
comp11388_c0 NA turquoise
comp1139_c2 NA turquoise
comp11391_c0 NA blue
comp11394_c0 NA turquoise
comp11395_c0 NA blue
comp11395_c1 NA turquoise
comp11396_c0 NA turquoise
comp11397_c0 NA turquoise
comp11399_c0 NA blue
comp11405_c0 NA turquoise
comp11406_c0 NA turquoise
comp11408_c0 NA turquoise
comp114091_c0 NA yellow
comp11411_c1 NA green
comp11412_c1 NA blue
comp11416_c0 NA blue
comp11417_c0 NA blue
comp11419_c0 NA turquoise
comp1142_c0 NA turquoise
comp11420_c0 NA blue
comp11424_c1 NA turquoise
comp11426_c1 NA blue
comp1143_c0 NA blue
comp11431_c1 NA blue
comp11433_c0 NA turquoise
comp11434_c0 NA blue
comp11440_c0 NA turquoise
comp11442_c0 NA turquoise
comp11444_c0 NA turquoise
comp11447_c0 NA turquoise
comp11448_c0 NA turquoise
comp11449_c2 NA blue
comp1145_c0 NA turquoise
comp11451_c0 NA turquoise
comp11457_c0 NA blue
comp11460_c0 NA blue
comp11461_c0 NA blue
comp11463_c0 NA blue
comp11467_c0 NA turquoise
comp11468_c0 NA blue
comp11470_c0 NA brown
comp11473_c1 NA turquoise
comp11476_c0 NA turquoise
comp11477_c0 NA turquoise
comp11480_c0 NA turquoise
comp11485_c0 NA turquoise
comp11486_c0 NA turquoise
comp1149_c0 NA turquoise
comp11491_c0 NA turquoise
comp11495_c0 NA blue
comp11498_c0 NA green
comp11499_c0 NA turquoise
comp115_c0 NA turquoise
comp11500_c0 NA blue
comp11503_c0 NA brown
comp11504_c0 NA turquoise
comp11507_c0 NA blue
comp11508_c0 NA turquoise
comp1151_c1 NA blue
comp11513_c0 NA blue
comp11513_c1 NA blue
comp11514_c0 NA turquoise
comp11516_c0 NA brown
comp11519_c0 NA turquoise
comp11520_c0 NA turquoise
comp11521_c0 NA brown
comp11527_c0 NA blue
comp1153_c0 NA turquoise
comp11531_c0 NA turquoise
comp11532_c0 NA blue
comp11533_c0 NA turquoise
comp11535_c0 NA turquoise
comp11540_c0 NA turquoise
comp11544_c0 NA red
comp11545_c0 NA yellow
comp11546_c0 NA blue
comp11548_c1 NA blue
comp1155_c0 NA blue
comp11551_c0 NA turquoise
comp11552_c0 NA blue
comp11553_c0 NA blue
comp11556_c0 NA blue
comp11558_c0 NA turquoise
comp11560_c0 NA blue
comp11565_c1 NA blue
comp11578_c0 NA blue
comp1158_c0 NA turquoise
comp11584_c0 NA blue
comp11585_c0 NA blue
comp11586_c0 NA blue
comp11589_c0 NA blue
comp11591_c11 NA turquoise
comp11594_c0 NA turquoise
comp1160_c0 NA turquoise
comp1160_c15 NA turquoise
comp1160_c39 NA turquoise
comp11603_c1 NA turquoise
comp11606_c0 NA blue
comp11608_c0 NA yellow
comp1161_c0 NA blue
comp11611_c0 NA blue
comp11613_c0 NA turquoise
comp11615_c1 NA turquoise
comp11618_c0 NA turquoise
comp11621_c0 NA blue
comp11622_c0 NA turquoise
comp11624_c0 NA turquoise
comp11626_c0 NA turquoise
comp11627_c0 NA turquoise
comp1163_c0 NA blue
comp11630_c0 NA turquoise
comp11632_c0 NA turquoise
comp11636_c0 NA turquoise
comp11638_c0 NA turquoise
comp11639_c0 NA brown
comp1164_c0 NA turquoise
comp11642_c0 NA turquoise
comp11644_c0 NA turquoise
comp11647_c0 NA turquoise
comp1165_c0 NA blue
comp11651_c0 NA brown
comp11653_c0 NA blue
comp11656_c0 NA blue
comp1166_c0 NA turquoise
comp11661_c0 NA blue
comp11662_c0 NA blue
comp11663_c1 NA turquoise
comp11669_c0 NA yellow
comp1167_c0 NA blue
comp11671_c0 NA blue
comp11672_c0 NA turquoise
comp11674_c0 NA turquoise
comp11676_c0 NA turquoise
comp11677_c0 NA blue
comp1168_c0 NA turquoise
comp11681_c0 NA blue
comp11682_c0 NA blue
comp11684_c0 NA blue
comp11687_c0 NA blue
comp1169_c0 NA blue
comp1169_c1 NA turquoise
comp11690_c0 NA turquoise
comp11693_c0 NA blue
comp1170_c0 NA blue
comp11700_c0 NA blue
comp11703_c0 NA brown
comp11704_c0 NA turquoise
comp11704_c1 NA turquoise
comp11707_c0 NA turquoise
comp11709_c1 NA turquoise
comp1171_c0 NA turquoise
comp11718_c0 NA blue
comp11719_c0 NA blue
comp11722_c0 NA turquoise
comp11723_c0 NA yellow
comp11727_c0 NA turquoise
comp1173_c2 NA blue
comp11732_c0 NA turquoise
comp11734_c0 NA turquoise
comp11739_c0 NA turquoise
